id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,year,updated_on,x_coordinate,y_coordinate,latitude,longitude,location
14010818,JJ467421,2025-10-23T00:00:00.000,011XX W TAYLOR ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,False,True,1232,012,34,28,26,2025,2025-11-01T15:41:48.000,,,,,
14006870,JJ461908,2025-10-23T00:00:00.000,091XX S BLACKSTONE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,False,False,0413,004,8,48,14,2025,2025-11-01T15:41:48.000,,,,,
14006397,JJ462164,2025-10-23T00:00:00.000,057XX S PAULINA ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,True,0715,007,15,67,26,2025,2025-11-01T15:41:48.000,,,,,
14006289,JJ461990,2025-10-23T00:00:00.000,021XX N WINCHESTER AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,1432,014,32,22,06,2025,2025-11-01T15:41:48.000,,,,,
14013295,JJ469245,2025-10-23T00:00:00.000,042XX N MARINE DR,0810,THEFT,OVER $500,STREET,False,False,1915,019,46,3,06,2025,2025-11-01T15:41:48.000,,,,,
14007806,JJ463796,2025-10-23T00:00:00.000,014XX W FULTON ST,1240,DECEPTIVE PRACTICE,UNLAWFUL USE OF A COMPUTER,OTHER (SPECIFY),False,False,1215,012,27,28,11,2025,2025-10-30T15:50:32.000,1166764,1901971,41.886575887,-87.663054403,"{'latitude': '41.886575887', 'longitude': '-87.663054403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14006374,JJ462126,2025-10-23T00:00:00.000,054XX W CRYSTAL ST,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,2532,025,37,25,06,2025,2025-10-30T15:50:32.000,1139844,1907794,41.903089365,-87.761769943,"{'latitude': '41.903089365', 'longitude': '-87.761769943', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14007902,JJ463612,2025-10-23T00:00:00.000,103XX S DOTY AVE E,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,0434,004,10,51,07,2025,2025-10-30T15:50:32.000,1189757,1836996,41.707756212,-87.580708771,"{'latitude': '41.707756212', 'longitude': '-87.580708771', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14006817,JJ462708,2025-10-23T00:00:00.000,071XX S MORGAN ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,0733,007,17,68,04A,2025,2025-10-30T15:50:32.000,1170875,1857580,41.764673631,-87.649255842,"{'latitude': '41.764673631', 'longitude': '-87.649255842', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14006356,JJ461997,2025-10-23T00:00:00.000,016XX W CONGRESS PKWY,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,HOSPITAL BUILDING / GROUNDS,False,False,1231,012,27,28,17,2025,2025-11-01T15:41:48.000,,,,,
