id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
14008189,JJ459280,2025-10-20T00:00:00.000,064XX S DR MARTIN LUTHER KING JR DR,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,0312,003,20,69,14,1180029,1862344,2025,2025-10-27T15:43:39.000,41.777541862,-87.615558432,"{'latitude': '41.777541862', 'longitude': '-87.615558432', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14003896,JJ458957,2025-10-20T00:00:00.000,067XX S JEFFERY BLVD,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,0332,003,5,43,26,1190704,1860712,2025,2025-10-27T15:43:39.000,41.772812361,-87.576477067,"{'latitude': '41.772812361', 'longitude': '-87.576477067', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14003244,JJ458300,2025-10-20T00:00:00.000,079XX S MARYLAND AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,0624,006,8,44,06,1183279,1852574,2025,2025-10-27T15:43:39.000,41.750656962,-87.60394775,"{'latitude': '41.750656962', 'longitude': '-87.60394775', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14008473,JJ464596,2025-10-20T00:00:00.000,001XX W MAPLE ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,False,1824,018,27,8,11,1174883,1907592,2025,2025-10-27T15:43:39.000,41.901822321,-87.633071176,"{'latitude': '41.901822321', 'longitude': '-87.633071176', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14007588,JJ463498,2025-10-20T00:00:00.000,039XX S LAKE PARK AVE,0810,THEFT,OVER $500,APARTMENT,False,False,0214,002,4,36,06,1183292,1879180,2025,2025-10-27T15:43:39.000,41.823665846,-87.603072021,"{'latitude': '41.823665846', 'longitude': '-87.603072021', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14004506,JJ458160,2025-10-20T00:00:00.000,027XX W ROOSEVELT RD,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,SIDEWALK,False,True,1135,011,28,29,04B,1158071,1894595,2025,2025-10-27T15:43:39.000,41.866517317,-87.695178701,"{'latitude': '41.866517317', 'longitude': '-87.695178701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14003368,JJ458392,2025-10-20T00:00:00.000,010XX N FRANCISCO AVE,0460,BATTERY,SIMPLE,HOSPITAL BUILDING / GROUNDS,False,False,1211,012,26,24,08B,1156861,1906972,2025,2025-10-27T15:43:39.000,41.900505589,-87.699285044,"{'latitude': '41.900505589', 'longitude': '-87.699285044', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14003057,JJ458033,2025-10-20T00:00:00.000,046XX S KEELER AVE,0460,BATTERY,SIMPLE,RESIDENCE,False,False,0815,008,14,57,08B,1149136,1873576,2025,2025-10-27T15:43:39.000,41.809015971,-87.728523575,"{'latitude': '41.809015971', 'longitude': '-87.728523575', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14009444,JJ465835,2025-10-20T00:00:00.000,004XX N LAVERGNE AVE,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,APARTMENT,False,False,1532,015,37,25,12,1142962,1902338,2025,2025-10-28T15:41:02.000,41.88805989,-87.750452913,"{'latitude': '41.88805989', 'longitude': '-87.750452913', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14010797,JJ467539,2025-10-20T00:00:00.000,064XX N SHERIDAN RD,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,2432,024,49,1,05,1167121,1942715,2025,2025-10-29T15:43:57.000,41.998371665,-87.660569111,"{'latitude': '41.998371665', 'longitude': '-87.660569111', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
